Municipios;Sexo;Periodo;Total
28 Madrid;Hombres;2020;3.243.793
28001 Acebeda, La;Hombres;2020;34
28002 Ajalvir;Hombres;2020;2.451
28003 Alameda del Valle;Hombres;2020;120
28004 Álamo, El;Hombres;2020;4.849
28005 Alcalá de Henares;Hombres;2020;96.061
28006 Alcobendas;Hombres;2020;56.554
28007 Alcorcón;Hombres;2020;82.959
28008 Aldea del Fresno;Hombres;2020;1.517
28009 Algete;Hombres;2020;10.236
28010 Alpedrete;Hombres;2020;7.277
28011 Ambite;Hombres;2020;308
28012 Anchuelo;Hombres;2020;667
28013 Aranjuez;Hombres;2020;29.420
28014 Arganda del Rey;Hombres;2020;28.331
28015 Arroyomolinos;Hombres;2020;16.419
28016 Atazar, El;Hombres;2020;47
28017 Batres;Hombres;2020;887
28018 Becerril de la Sierra;Hombres;2020;2.951
28019 Belmonte de Tajo;Hombres;2020;869
28021 Berrueco, El;Hombres;2020;389
28020 Berzosa del Lozoya;Hombres;2020;126
28022 Boadilla del Monte;Hombres;2020;27.710
28023 Boalo, El;Hombres;2020;3.868
28024 Braojos;Hombres;2020;122
28025 Brea de Tajo;Hombres;2020;292
28026 Brunete;Hombres;2020;5.302
28027 Buitrago del Lozoya;Hombres;2020;933
28028 Bustarviejo;Hombres;2020;1.277
28029 Cabanillas de la Sierra;Hombres;2020;407
28030 Cabrera, La;Hombres;2020;1.334
28031 Cadalso de los Vidrios;Hombres;2020;1.572
28032 Camarma de Esteruelas;Hombres;2020;3.780
28033 Campo Real;Hombres;2020;3.259
28034 Canencia;Hombres;2020;242
28035 Carabaña;Hombres;2020;1.055
28036 Casarrubuelos;Hombres;2020;1.973
28037 Cenicientos;Hombres;2020;1.019
28038 Cercedilla;Hombres;2020;3.551
28039 Cervera de Buitrago;Hombres;2020;97
28051 Chapinería;Hombres;2020;1.219
28052 Chinchón;Hombres;2020;2.733
28040 Ciempozuelos;Hombres;2020;12.674
28041 Cobeña;Hombres;2020;3.667
28046 Collado Mediano;Hombres;2020;3.524
28047 Collado Villalba;Hombres;2020;31.210
28043 Colmenar de Oreja;Hombres;2020;4.128
28042 Colmenar del Arroyo;Hombres;2020;923
28045 Colmenar Viejo;Hombres;2020;25.618
28044 Colmenarejo;Hombres;2020;4.515
28048 Corpa;Hombres;2020;374
28049 Coslada;Hombres;2020;39.821
28050 Cubas de la Sagra;Hombres;2020;3.229
28053 Daganzo de Arriba;Hombres;2020;5.155
28054 Escorial, El;Hombres;2020;8.067
28055 Estremera;Hombres;2020;680
28056 Fresnedillas de la Oliva;Hombres;2020;840
28057 Fresno de Torote;Hombres;2020;1.215
28058 Fuenlabrada;Hombres;2020;95.847
28059 Fuente el Saz de Jarama;Hombres;2020;3.426
28060 Fuentidueña de Tajo;Hombres;2020;1.073
28061 Galapagar;Hombres;2020;16.822
28062 Garganta de los Montes;Hombres;2020;203
28063 Gargantilla del Lozoya y Pinilla de Buitrago;Hombres;2020;165
28064 Gascones;Hombres;2020;98
28065 Getafe;Hombres;2020;90.403
28066 Griñón;Hombres;2020;5.211
28067 Guadalix de la Sierra;Hombres;2020;3.253
28068 Guadarrama;Hombres;2020;8.157
