MunicipioNombre,MunicipioCongresoPartidoSiglas,MunicipioCongresoPartidoPorcenVotos,Segundo,%Segundo,Tercero,%Tercero,Cuarto,%Cuarto,Code
La Acebeda,PP,56.1,P.S.O.E.,17.07,PODEMOS-IU,14.63,MÁS MADRID,7.32,28001

Ajalvir,PP,49.4,VOX,14.63,MÁS MADRID,14.2,P.S.O.E.,13.98,28002

Alameda del Valle,PP,38.1,MÁS MADRID,21.43,P.S.O.E.,17.86,VOX,9.52,28003

El Álamo,PP,46.41,P.S.O.E.,17.36,VOX,15.38,MÁS MADRID,11.43,28004

Alcalá de Henares,PP,42.58,P.S.O.E.,19.9,MÁS MADRID,15.52,VOX,9.72,28005

Alcobendas,PP,49.6,P.S.O.E.,17.44,MÁS MADRID,13.32,VOX,8.97,28006

Alcorcón,PP,40.88,P.S.O.E.,20.46,MÁS MADRID,17.52,VOX,8.09,28007

Aldea del Fresno,PP,47.7,P.S.O.E.,16.15,VOX,13.81,MÁS MADRID,11.62,28008

Algete,PP,50.23,P.S.O.E.,14.51,MÁS MADRID,13.72,VOX,11.69,28009

Alpedrete,PP,48.52,MÁS MADRID,15.59,P.S.O.E.,12.76,VOX,10.95,28010

Ambite,PP,42.45,VOX,17.3,P.S.O.E.,15.09,MÁS MADRID,11.64,28011

Anchuelo,PP,50.27,P.S.O.E.,16.85,VOX,12.88,MÁS MADRID,12.74,28012
Aranjuez,PP,42.16,P.S.O.E.,19.5,MÁS MADRID,14.43,VOX,12.02,28013

Arganda del Rey,PP,46.63,P.S.O.E.,16.83,MÁS MADRID,14.52,VOX,10.97,28014

Arroyomolinos,PP,50.49,MÁS MADRID,14.68,P.S.O.E.,12.31,VOX,12.13,28015

El Atazar,P.S.O.E.,34.92,PP,28.57,MÁS MADRID,12.7,PODEMOS-IU,11.11,28016

Batres,PP,42.88,MÁS MADRID,15.81,VOX,14.23,P.S.O.E.,11.91,28017

Becerril de la Sierra,PP,49.26,MÁS MADRID,14.16,P.S.O.E.,14.1,VOX,11.33,28018

Belmonte de Tajo,PP,37.95,P.S.O.E.,24.92,MÁS MADRID,14.68,VOX,10.55,28019

Berzosa del Lozoya,PP,36.52,MÁS MADRID,22.61,P.S.O.E.,19.13,PODEMOS-IU,12.17,28020

El Berrueco,PP,40,MÁS MADRID,19.51,PODEMOS-IU,15.12,P.S.O.E.,12.44,28021

Boadilla del Monte,PP,61.63,VOX,11.15,MÁS MADRID,9.44,P.S.O.E.,9.19,28022
El Boalo,PP,45.56,MÁS MADRID,17.7,P.S.O.E.,13.73,VOX,10.16,28023

Braojos,PP,53.02,VOX,14.77,MÁS MADRID,12.75,P.S.O.E.,9.4,28024

Brea de Tajo,PP,57.63,P.S.O.E.,15.58,VOX,11.21,MÁS MADRID,7.79,28025

Brunete,PP,50.68,MÁS MADRID,13.51,VOX,12.48,P.S.O.E.,11.82,28026

Buitrago del Lozoya,PP,46.06,P.S.O.E.,18.68,MÁS MADRID,15.89,VOX,10.09,28027

Bustarviejo,PP,34.5,MÁS MADRID,24.02,P.S.O.E.,16.33,PODEMOS-IU,13.79,28028

Cabanillas de la Sierra,PP,41.51,MÁS MADRID,20.27,P.S.O.E.,14.29,VOX,11,28029

La Cabrera,PP,38.32,MÁS MADRID,21.4,P.S.O.E.,16.29,VOX,10.91,28030

Cadalso de los Vidrios,PP,48.31,P.S.O.E.,23.23,VOX,10.99,MÁS MADRID,8.91,28031

Camarma de Esteruelas,PP,46.38,P.S.O.E.,15.08,MÁS MADRID,14.36,VOX,13.53,28032

Campo Real,PP,54.91,VOX,13.15,P.S.O.E.,12.52,MÁS MADRID,10.76,28033

Canencia,PP,45.7,P.S.O.E.,19.24,VOX,12.03,MÁS MADRID,11.68,28034

Carabaña,PP,42.27,P.S.O.E.,20.78,MÁS MADRID,14.02,VOX,11.98,28035

Casarrubuelos,PP,42.64,MÁS MADRID,16.84,P.S.O.E.,13.79,VOX,13.79,28036

Cenicientos,PP,42.4,P.S.O.E.,29.67,VOX,10.33,MÁS MADRID,9.67,28037

Cercedilla,PP,39.79,MÁS MADRID,20.82,P.S.O.E.,16.06,VOX,9.92,28038

Cervera de Buitrago,PP,26.21,P.S.O.E.,24.27,MÁS MADRID,23.3,VOX,10.68,28039

Ciempozuelos,PP,40.2,P.S.O.E.,18.14,MÁS MADRID,15.97,VOX,12.62,28040

Cobeña,PP,51.48,MÁS MADRID,13.95,VOX,11.99,P.S.O.E.,11.3,28041

Colmenar del Arroyo,PP,47.35,MÁS MADRID,13.81,P.S.O.E.,13.41,VOX,13.41,28042

Colmenar de Oreja,PP,45.26,P.S.O.E.,18.26,VOX,16.49,MÁS MADRID,9.96,28043

Colmenarejo,PP,44.17,MÁS MADRID,18.95,P.S.O.E.,14.23,VOX,10.2,28044

Colmenar Viejo,PP,45.31,MÁS MADRID,16.66,P.S.O.E.,16.02,VOX,10.25,28045

Collado Mediano,PP,46.09,MÁS MADRID,16.93,P.S.O.E.,14.3,VOX,10.57,28046

Collado Villalba,PP,43.87,P.S.O.E.,17.26,MÁS MADRID,16.7,VOX,9.48,28047

Corpa,PP,34.22,P.S.O.E.,20.48,MÁS MADRID,16.87,PODEMOS-IU,12.53,28048

Coslada,PP,37.43,P.S.O.E.,20.93,MÁS MADRID,19.59,PODEMOS-IU,8.99,28049

Cubas de la Sagra,PP,50.16,VOX,14.77,MÁS MADRID,13.9,P.S.O.E.,11.67,28050

Chapinería,PP,42.39,MÁS MADRID,15.83,P.S.O.E.,15.07,VOX,12.25,28051

Chinchón,PP,49.25,VOX,16.43,P.S.O.E.,13.92,MÁS MADRID,12,28052

Daganzo de Arriba,PP,47.41,MÁS MADRID,16.26,P.S.O.E.,13.7,VOX,10.45,28053
El Escorial,PP,44.87,MÁS MADRID,15.07,P.S.O.E.,14.64,VOX,12.84,28054

Estremera,PP,46.15,P.S.O.E.,27.66,VOX,13.17,MÁS MADRID,7.25,28055

Fresnedillas de la Oliva,PP,34.87,MÁS MADRID,24.08,P.S.O.E.,16.84,PODEMOS-IU,12.24,28056

Fresno de Torote,3e en acción,0,Cs,0,EB,0,FE de las JONS,0,28057

Fuenlabrada,PP,35.89,P.S.O.E.,22.66,MÁS MADRID,18.82,VOX,10.07,28058

Fuente el Saz de Jarama,PP,50.47,P.S.O.E.,15.87,VOX,11.99,MÁS MADRID,11.93,28059

Fuentidueña de Tajo,P.S.O.E.,34.05,PP,30.73,MÁS MADRID,13.12,VOX,9.88,28060

Galapagar,PP,46.79,MÁS MADRID,15.72,P.S.O.E.,13.98,VOX,11.46,28061

Garganta de los Montes,PP,35.79,VOX,24.21,MÁS MADRID,17.19,P.S.O.E.,11.23,28062

Gargantilla del Lozoya y Pinilla de Buitrago,PP,46.05,MÁS MADRID,18.86,P.S.O.E.,15.35,PODEMOS-IU,8.33,28063

Gascones,PP,56.19,P.S.O.E.,19.05,MÁS MADRID,12.38,PODEMOS-IU,5.71,28064

Getafe,PP,35.39,P.S.O.E.,21.9,MÁS MADRID,19.52,PODEMOS-IU,9.57,28065

Griñón,PP,55.72,VOX,14.41,MÁS MADRID,11.58,P.S.O.E.,10.49,28066

Guadalix de la Sierra,PP,43.72,P.S.O.E.,18.41,MÁS MADRID,14.1,VOX,11.93,28067

Guadarrama,PP,48.77,P.S.O.E.,14.95,MÁS MADRID,13.41,VOX,12.64,28068

La Hiruela,PP,36.73,PODEMOS-IU,22.45,MÁS MADRID,18.37,VOX,12.24,28069

