MunicipioNombre,MunicipioCongresoPartidoSiglas,X.1,Año,MunicipioCongresoPartidoPorcenVotos,Segundo,%Segundo,Tercero,%Tercero,Cuarto,%Cuarto,Code
Arganzuela,PP,1,2021,40.74,MÁS MADRID,22.82,P.S.O.E.,15.68,PODEMOS-IU,8.79,28079
Barajas,PP,2,2021,50.44,MÁS MADRID,15.55,P.S.O.E.,14.08,VOX,8.59,28079
Carabanchel,PP,3,2021,39.51,MÁS MADRID,20.32,P.S.O.E.,18.96,PODEMOS-IU,9.11,28079
Centro,PP,4,2021,34.98,MÁS MADRID,27.1,P.S.O.E.,14.95,PODEMOS-IU,12.39,28079
Chamartín,PP,5,2021,62.01,MÁS MADRID,9.98,VOX,9.9,P.S.O.E.,9.58,28079
Chamberí,PP,6,2021,55.8,MÁS MADRID,13.82,P.S.O.E.,11.34,VOX,8.86,28079
Ciudad Lineal,PP,7,2021,46.98,P.S.O.E.,16.66,MÁS MADRID,16.13,VOX,7.9,28079
Fuencarral,PP,8,2021,52.58,P.S.O.E.,14.17,MÁS MADRID,13.68,VOX,8.91,28079
Hortaleza,PP,9,2021,51.4,MÁS MADRID,14.68,P.S.O.E.,14.58,VOX,8.57,28079
Latina,PP,10,2021,41.25,MÁS MADRID,19.21,P.S.O.E.,18.35,PODEMOS-IU,8.77,28079
Moncloa,PP,11,2021,53.77,MÁS MADRID,14.19,P.S.O.E.,12.31,VOX,9.52,28079
Moratalaz,PP,12,2021,41.91,MÁS MADRID,19.68,P.S.O.E.,18.64,PODEMOS-IU,8.22,28079
Puente de Vallecas,PP,13,2021,27.52,MÁS MADRID,23.64,P.S.O.E.,23.43,PODEMOS-IU,14.56,28079
Retiro,PP,14,2021,52.71,MÁS MADRID,15.4,P.S.O.E.,12.45,VOX,8.78,28079
Salamanca,PP,15,2021,61.09,MÁS MADRID,10.59,VOX,10.34,P.S.O.E.,9.78,28079
San Blas,PP,16,2021,41.38,MÁS MADRID,19.52,P.S.O.E.,17.92,PODEMOS-IU,7.89,28079
Tetuán,PP,17,2021,47.88,MÁS MADRID,16.41,P.S.O.E.,15.06,VOX,8.59,28079
Usera,PP,18,2021,34.52,MÁS MADRID,22.59,P.S.O.E.,21.22,PODEMOS-IU,9.82,28079
Vicálvaro,PP,19,2021,35.73,MÁS MADRID,22.91,P.S.O.E.,19.93,PODEMOS-IU,9.02,28079
Villa de Vallecas,PP,20,2021,34.46,MÁS MADRID,24.33,P.S.O.E.,18.4,PODEMOS-IU,10.03,28079
Villaverde,PP,21,2021,33.69,P.S.O.E.,22.84,MÁS MADRID,21.62,PODEMOS-IU,9.78,28079
