Municipios;Sexo;Periodo;Total
28 Madrid;Mujeres;2020;3.536.095
28001 Acebeda, La;Mujeres;2020;34
28002 Ajalvir;Mujeres;2020;2.270
28003 Alameda del Valle;Mujeres;2020;84
28004 Álamo, El;Mujeres;2020;5.013
28005 Alcalá de Henares;Mujeres;2020;101.501
28006 Alcobendas;Mujeres;2020;61.863
28007 Alcorcón;Mujeres;2020;89.425
28008 Aldea del Fresno;Mujeres;2020;1.456
28009 Algete;Mujeres;2020;10.628
28010 Alpedrete;Mujeres;2020;7.562
28011 Ambite;Mujeres;2020;301
28012 Anchuelo;Mujeres;2020;619
28013 Aranjuez;Mujeres;2020;30.912
28014 Arganda del Rey;Mujeres;2020;28.347
28015 Arroyomolinos;Mujeres;2020;16.516
28016 Atazar, El;Mujeres;2020;43
28017 Batres;Mujeres;2020;863
28018 Becerril de la Sierra;Mujeres;2020;2.924
28019 Belmonte de Tajo;Mujeres;2020;814
28021 Berrueco, El;Mujeres;2020;388
28020 Berzosa del Lozoya;Mujeres;2020;96
28022 Boadilla del Monte;Mujeres;2020;29.024
28023 Boalo, El;Mujeres;2020;3.795
28024 Braojos;Mujeres;2020;84
28025 Brea de Tajo;Mujeres;2020;214
28026 Brunete;Mujeres;2020;5.458
28027 Buitrago del Lozoya;Mujeres;2020;1.026
28028 Bustarviejo;Mujeres;2020;1.245
28029 Cabanillas de la Sierra;Mujeres;2020;378
28030 Cabrera, La;Mujeres;2020;1.402
28031 Cadalso de los Vidrios;Mujeres;2020;1.475
28032 Camarma de Esteruelas;Mujeres;2020;3.657
28033 Campo Real;Mujeres;2020;3.161
28034 Canencia;Mujeres;2020;205
28035 Carabaña;Mujeres;2020;1.026
28036 Casarrubuelos;Mujeres;2020;1.872
28037 Cenicientos;Mujeres;2020;1.019
28038 Cercedilla;Mujeres;2020;3.654
28039 Cervera de Buitrago;Mujeres;2020;65
28051 Chapinería;Mujeres;2020;1.195
28052 Chinchón;Mujeres;2020;2.680
28040 Ciempozuelos;Mujeres;2020;12.430
28041 Cobeña;Mujeres;2020;3.819
28046 Collado Mediano;Mujeres;2020;3.581
28047 Collado Villalba;Mujeres;2020;33.168
28043 Colmenar de Oreja;Mujeres;2020;4.026
28042 Colmenar del Arroyo;Mujeres;2020;862
28045 Colmenar Viejo;Mujeres;2020;26.320
28044 Colmenarejo;Mujeres;2020;4.715
28048 Corpa;Mujeres;2020;349
28049 Coslada;Mujeres;2020;41.570
28050 Cubas de la Sagra;Mujeres;2020;3.310
28053 Daganzo de Arriba;Mujeres;2020;5.182
28054 Escorial, El;Mujeres;2020;8.298
28055 Estremera;Mujeres;2020;654
28056 Fresnedillas de la Oliva;Mujeres;2020;811
28057 Fresno de Torote;Mujeres;2020;1.084
28058 Fuenlabrada;Mujeres;2020;98.667
28059 Fuente el Saz de Jarama;Mujeres;2020;3.381
28060 Fuentidueña de Tajo;Mujeres;2020;1.063
28061 Galapagar;Mujeres;2020;17.675
28062 Garganta de los Montes;Mujeres;2020;174
28063 Gargantilla del Lozoya y Pinilla de Buitrago;Mujeres;2020;144
28064 Gascones;Mujeres;2020;78
28065 Getafe;Mujeres;2020;94.777
28066 Griñón;Mujeres;2020;5.224
28067 Guadalix de la Sierra;Mujeres;2020;3.187
28068 Guadarrama;Mujeres;2020;8.403
28069 Hiruela, La;Mujeres;2020;20
28070 Horcajo de la Sierra-Aoslos;Mujeres;2020;72
28071 Horcajuelo de la Sierra;Mujeres;2020;39
28072 Hoyo de Manzanares;Mujeres;2020;4.230
28073 Humanes de Madrid;Mujeres;2020;9.902
28074 Leganés;Mujeres;2020;98.541
28075 Loeches;Mujeres;2020;4.425
28076 Lozoya;Mujeres;2020;274
28901 Lozoyuela-Navas-Sieteiglesias;Mujeres;2020;646
28078 Madarcos;Mujeres;2020;19
28079 Madrid;Mujeres;2020;1.780.831
28080 Majadahonda;Mujeres;2020;37.985
28082 Manzanares el Real;Mujeres;2020;4.395
28083 Meco;Mujeres;2020;7.282
28084 Mejorada del Campo;Mujeres;2020;11.887
28085 Miraflores de la Sierra;Mujeres;2020;3.097
28086 Molar, El;Mujeres;2020;4.569
28087 Molinos, Los;Mujeres;2020;2.252
28088 Montejo de la Sierra;Mujeres;2020;176
28089 Moraleja de Enmedio;Mujeres;2020;2.609
28090 Moralzarzal;Mujeres;2020;6.668
28091 Morata de Tajuña;Mujeres;2020;3.914
28092 Móstoles;Mujeres;2020;108.002
28093 Navacerrada;Mujeres;2020;1.539
28094 Navalafuente;Mujeres;2020;737
28095 Navalagamella;Mujeres;2020;1.275
28096 Navalcarnero;Mujeres;2020;15.086
28097 Navarredonda y San Mamés;Mujeres;2020;45
28099 Navas del Rey;Mujeres;2020;1.415
28100 Nuevo Baztán;Mujeres;2020;3.159
28101 Olmeda de las Fuentes;Mujeres;2020;168
28102 Orusco de Tajuña;Mujeres;2020;641
28104 Paracuellos de Jarama;Mujeres;2020;12.902
28106 Parla;Mujeres;2020;66.958
28107 Patones;Mujeres;2020;288
28108 Pedrezuela;Mujeres;2020;3.087
28109 Pelayos de la Presa;Mujeres;2020;1.310
28110 Perales de Tajuña;Mujeres;2020;1.473
28111 Pezuela de las Torres;Mujeres;2020;407
28112 Pinilla del Valle;Mujeres;2020;84
28113 Pinto;Mujeres;2020;26.899
28114 Piñuécar-Gandullas;Mujeres;2020;88
28115 Pozuelo de Alarcón;Mujeres;2020;45.399
28116 Pozuelo del Rey;Mujeres;2020;554
28117 Prádena del Rincón;Mujeres;2020;55
28118 Puebla de la Sierra;Mujeres;2020;31
28902 Puentes Viejas;Mujeres;2020;309
28119 Quijorna;Mujeres;2020;1.770
28120 Rascafría;Mujeres;2020;783
28121 Redueña;Mujeres;2020;115
28122 Ribatejada;Mujeres;2020;395
28123 Rivas-Vaciamadrid;Mujeres;2020;45.900
28124 Robledillo de la Jara;Mujeres;2020;47
28125 Robledo de Chavela;Mujeres;2020;2.090
28126 Robregordo;Mujeres;2020;25
28127 Rozas de Madrid, Las;Mujeres;2020;49.693
28128 Rozas de Puerto Real;Mujeres;2020;235
28129 San Agustín del Guadalix;Mujeres;2020;6.853
28130 San Fernando de Henares;Mujeres;2020;20.322
28131 San Lorenzo de El Escorial;Mujeres;2020;9.652
28132 San Martín de la Vega;Mujeres;2020;9.582
28133 San Martín de Valdeiglesias;Mujeres;2020;4.360
28134 San Sebastián de los Reyes;Mujeres;2020;46.747
28135 Santa María de la Alameda;Mujeres;2020;621
28136 Santorcaz;Mujeres;2020;436
28137 Santos de la Humosa, Los;Mujeres;2020;1.314
28138 Serna del Monte, La;Mujeres;2020;40
28140 Serranillos del Valle;Mujeres;2020;2.180
28141 Sevilla la Nueva;Mujeres;2020;4.811
28143 Somosierra;Mujeres;2020;37
28144 Soto del Real;Mujeres;2020;4.582
28145 Talamanca de Jarama;Mujeres;2020;2.020
28146 Tielmes;Mujeres;2020;1.347
28147 Titulcia;Mujeres;2020;646
28148 Torrejón de Ardoz;Mujeres;2020;67.510
28149 Torrejón de la Calzada;Mujeres;2020;4.635
28150 Torrejón de Velasco;Mujeres;2020;2.193
28151 Torrelaguna;Mujeres;2020;2.419
28152 Torrelodones;Mujeres;2020;12.354
28153 Torremocha de Jarama;Mujeres;2020;533
28154 Torres de la Alameda;Mujeres;2020;3.831
28903 Tres Cantos;Mujeres;2020;24.887
28155 Valdaracete;Mujeres;2020;294
28156 Valdeavero;Mujeres;2020;763
28157 Valdelaguna;Mujeres;2020;488
28158 Valdemanco;Mujeres;2020;465
28159 Valdemaqueda;Mujeres;2020;378
28160 Valdemorillo;Mujeres;2020;6.343
28161 Valdemoro;Mujeres;2020;39.128
28162 Valdeolmos-Alalpardo;Mujeres;2020;2.062
28163 Valdepiélagos;Mujeres;2020;289
28164 Valdetorres de Jarama;Mujeres;2020;2.271
28165 Valdilecha;Mujeres;2020;1.449
28166 Valverde de Alcalá;Mujeres;2020;236
28167 Velilla de San Antonio;Mujeres;2020;6.143
28168 Vellón, El;Mujeres;2020;949
28169 Venturada;Mujeres;2020;1.062
28171 Villa del Prado;Mujeres;2020;3.268
28170 Villaconejos;Mujeres;2020;1.664
28172 Villalbilla;Mujeres;2020;7.136
28173 Villamanrique de Tajo;Mujeres;2020;353
28174 Villamanta;Mujeres;2020;1.290
28175 Villamantilla;Mujeres;2020;756
28176 Villanueva de la Cañada;Mujeres;2020;11.359
28178 Villanueva de Perales;Mujeres;2020;779
28177 Villanueva del Pardillo;Mujeres;2020;8.934
28179 Villar del Olmo;Mujeres;2020;1.055
28180 Villarejo de Salvanés;Mujeres;2020;3.717
28181 Villaviciosa de Odón;Mujeres;2020;14.544
