product|real_item_price
Chicken Bowl- [Fresh Tomato Salsa (Mild), [Rice, Cheese, Sour Cream, Guacamole, Lettuce]]|10.98
Steak Burrito- [Tomatillo Red Chili Salsa, [Fajita Vegetables, Black Beans, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce]]|11.75
Chicken Bowl- [Fresh Tomato Salsa, [Fajita Vegetables, Rice, Cheese, Sour Cream, Guacamole]]|11.25
Chicken Burrito- [[Tomatillo-Green Chili Salsa (Medium), Tomatillo-Red Chili Salsa (Hot)], [Pinto Beans, Rice, Cheese, Sour Cream, Guacamole, Lettuce]]|10.98
Barbacoa Bowl- [Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]|11.75
Chicken Bowl- [Roasted Chili Corn Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]|11.25
Steak Burrito- [Fresh Tomato Salsa, [Rice, Pinto Beans, Cheese, Sour Cream, Guacamole, Lettuce]]|11.75
Chicken Burrito- [Tomatillo-Red Chili Salsa (Hot), [Black Beans, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]|10.98
Chicken Burrito- [Roasted Chili Corn Salsa (Medium), [Black Beans, Rice, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]|10.98
Veggie Burrito- [Tomatillo Red Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]|11.25
Barbacoa Bowl- [Roasted Chili Corn Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]|11.75
Veggie Bowl- [Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]|11.25
Chicken Burrito- [Tomatillo-Red Chili Salsa (Hot), [Black Beans, Fajita Veggies, Cheese, Sour Cream, Guacamole, Lettuce]]|10.98
Chicken Soft Tacos- [Roasted Chili Corn Salsa, [Rice, Cheese, Lettuce, Guacamole]]|11.25
Steak Bowl- [Fresh Tomato Salsa, [Rice, Black Beans, Cheese, Sour Cream, Guacamole]]|11.75
Steak Bowl- [Fresh Tomato Salsa, [Fajita Vegetables, Cheese, Sour Cream, Guacamole]]|11.75
Carnitas Burrito- [Roasted Chili Corn Salsa, [Sour Cream, Guacamole]]|11.75
Carnitas Bowl- [Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce]]|11.75
Chicken Bowl- [Fresh Tomato Salsa, [Guacamole, Cheese, Sour Cream, Fajita Vegetables, Rice]]|11.25
Barbacoa Burrito- [Roasted Chili Corn Salsa, [Rice, Pinto Beans, Cheese, Guacamole, Lettuce]]|11.75
Chicken Burrito- [Roasted Chili Corn Salsa (Medium), [Rice, Black Beans, Sour Cream, Guacamole]]|10.98
Chicken Salad Bowl- [Tomatillo Green Chili Salsa, [Sour Cream, Cheese, Guacamole]]|11.25
Barbacoa Bowl- [Tomatillo Red Chili Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Sour Cream, Guacamole, Lettuce]]|11.75
Chicken Bowl- [Fresh Tomato Salsa, [Rice, Fajita Vegetables, Sour Cream, Cheese, Guacamole]]|11.25
Chicken Bowl- [Tomatillo Green Chili Salsa, [Rice, Sour Cream, Cheese, Guacamole]]|11.25
Chicken Bowl- [Fresh Tomato Salsa, [Fajita Vegetables, Rice, Black Beans, Cheese, Guacamole, Lettuce]]|11.25
Veggie Bowl- [Tomatillo Red Chili Salsa, [Fajita Vegetables, Black Beans, Cheese, Guacamole, Lettuce]]|11.25
